SERIALNUMBER METERNO IPADDRV6 SERVLOC LATITUDE LONGITUDE
2155200696 8075C0B8 fda0::196:1c:6400:8075:c0b8 LBN-R-033 -22.983502 -43.215789
2155200727 8075C0D7 fda0::196:1c:6400:8075:c0d7 LBN-R-049 -22.982748 -43.224726
2155154871 80750DB7 fda0::145:1c:6400:8075:db7 LBN-R-071 -22.986248 -43.225403
2155287100 8077123C fda0::1b7:1c:6400:8077:123c LBN-R-083 -22.983133 -43.227619
2155166086 80753986 fda0::1b7:1c:6400:8075:3986 LBN-R-105 -22.987717 -43.228774
2155198868 8075B994 fda0::16:1c:6400:8075:b994 RLG-R-019 -22.90683 -43.186816
2155167071 80753D5F fda0::5:1c:6400:8075:3d5f RL3780 -22.67995 -43.444636
2155167270 80753E26 fda0::5:1c:6400:8075:3e26 RL4589 -22.679928 -43.444551
2153851521 80612A81 fda0::b3:1c:6400:8061:2a81 BFG-R-019 -22.952559 -43.179881
2155288001 807715C1 fda0::b2:1c:6400:8077:15c1 BFG-R-001 -22.954357 -43.166724
2153849949 8061245D fda0::3a:1c:6400:8061:245d BFG-R-002 -22.953985 -43.169041
2155288051 807715F3 fda0::b3:1c:6400:8077:15f3 BFG-R-014 -22.955217 -43.178308
2155287969 807715A1 fda0::1c3:1c:6400:8077:15a1 HMT-R-028 -22.954563 -43.19626
2155287984 807715B0 fda0::b6:1c:6400:8077:15b0 HMT-R-042 -22.958659 -43.199943
2155287906 80771562 fda0::12d:1c:6400:8077:1562 BPD-R-044 -22.924903 -43.179652
2155288020 807715D4 fda0::193:1c:6400:8077:15d4 BPD-R-045 -22.924383 -43.178611
2155288689 80771871 fda0::b2:1c:6400:8077:1871 BPD-R-096 -22.93942 -43.178257
2155288629 80771835 fda0::1a9:1c:6400:8077:1835 BPD-R-095 -22.940086 -43.178619
2155288766 807718BE fda0::af:1c:6400:8077:18be BPD-R-031 -22.930862 -43.186834
2155288589 8077180D fda0::af:1c:6400:8077:180d BPD-R-030 -22.930756 -43.188765
2155288768 807718C0 fda0::c7:1c:6400:8077:18c0 BAR-R-097 -22.999886 -43.341326
2155288627 80771833 fda0::1cb:1c:6400:8077:1833 BAR-R-104 -23.0077 -43.31103
2155288755 807718B3 fda0::158:1c:6400:8077:18b3 CLG-R-002 -22.854618 -43.325014
2155288637 8077183D fda0::7b:1c:6400:8077:183d VVQ-R-015 -22.886444 -43.37892
2155288575 807717FF fda0::d1:1c:6400:8077:17ff PER-R-001 -22.847619 -43.271544
2155288678 80771866 fda0::9f:1c:6400:8077:1866 PER-R-004 -22.843926 -43.270882
2155288665 80771859 fda0::b9:1c:6400:8077:1859 PER-R-007 -22.837387 -43.257974
2155288798 807718DE fda0::d2:1c:6400:8077:18de TRG-R-001 -22.89862 -43.253833
2155288775 807718C7 fda0::1d1:1c:6400:8077:18c7 TRG-R-004 -22.896302 -43.249125
2155288729 80771899 fda0::1d1:1c:6400:8077:1899 TRG-R-006 -22.888735 -43.252074
2155288717 8077188D fda0::9f:1c:6400:8077:188d TER-R-001 -22.864608 -43.268889
2155157510 M2155157510 fda0::b:1c:6404:8075:1806 CRM-C-001 -22.715072 -43.462597
2155161967 8075296F fda0::1bf:1c:6400:8075:296f PVN-R-001 -22.82775 -43.40407
2155162111 807529FF fda0::1c0:1c:6400:8075:29ff PVN-R-005 -22.829948 -43.390037
2155162159 80752A2F fda0::1c0:1c:6400:8075:2a2f PVN-R-008 -22.799347 -43.395889
2155162035 807529B3 fda0::45:1c:6400:8075:29b3 CXS-R-002 -22.765986 -43.292057
2153920456 806237C8 fda0::13a:1c:6400:8062:37c8 SAT-R-047 -22.91312 -43.186065
2155166234 80753A1A fda0::7e:1c:6400:8075:3a1a SAT-R-028 -22.905251 -43.179445
2155168021 80754115 fda0::7f:1c:6400:8075:4115 CMR-R-003 -22.901929 -43.184366
2155287204 807712A4 fda0::91:1c:6400:8077:12a4 JAB-R-001 -22.90134 -43.55201
2155287210 807712AA fda0::92:1c:6400:8077:12aa AVS-R-004 -22.911874 -43.532775
2155287082 8077122A fda0::15c:1c:6400:8077:122a GVD-R-006 -22.8067 -43.20213
2155287152 80771270 fda0::15c:1c:6400:8077:1270 GVD-R-016 -22.799426 -43.207113
2155287104 80771240 fda0::164:1c:6400:8077:1240 GVD-R-005 -22.808767 -43.191729
2155168020 80754114 fda0::193:1c:6400:8075:4114 SLZ-R-112 -22.92191 -43.17684
1011 -80750C791011 fda0::16:1c:6400:8075:c79 SLZ-R-015 -22.908525 -43.177687
2155161950 8075295E fda0::1c8:1c:6400:8075:295e AFR-R-003 -22.856591 -43.473327
2155287124 80771254 fda0::d8:1c:6400:8077:1254 BPN-R-003 -22.827957 -43.277431
2155287469 807713AD fda0::161:1c:6400:8077:13ad BMT-R-007 -22.90956 -43.275988
2155287113 80771249 fda0::93:1c:6400:8077:1249 GDL-R-005 -22.834898 -43.382224
2155287536 807713F0 fda0::161:1c:6400:8077:13f0 BMT-R-003 -22.907391 -43.288907
2155287628 8077144C fda0::144:1c:6400:8077:144c PTS-R-012 -22.986729 -43.189665
2155287513 807713D9 fda0::1b7:1c:6400:8077:13d9 PTS-R-013 -22.984971 -43.191212
2155287587 80771423 fda0::13:1c:6400:8077:1423 PVN-R-002 -22.814653 -43.401374
2155287506 807713D2 fda0::1d:1c:6400:8077:13d2 VGE-R-004 -22.810017 -43.313838
2155287490 807713C2 fda0::24:1c:6400:8077:13c2 PCI-R-001 -22.92755 -43.63659
2155287609 80771439 fda0::cf:1c:6400:8077:1439 GDL-R-011 -22.857802 -43.392802
2155287485 807713BD fda0::66:1c:6400:8077:13bd CRO-R-001 -22.78491 -43.3911
2155287486 807713BE fda0::dd:1c:6400:8077:13be CCD-R-012 -22.890188 -43.346878
2155287116 8077124C fda0::163:1c:6400:8077:124c PTS-R-066 -22.977479 -43.196885
8246 -807712B78246 fda0::4c:1c:6400:8077:12b7 PTS-R-064 -22.976946 -43.193965
2155287482 807713BA fda0::196:1c:6400:8077:13ba PTS-R-078 -22.979691 -43.202636
2155166095 8075398F fda0::196:1c:6400:8075:398f PTS-R-079 -22.980575 -43.203368
2155166118 807539A6 fda0::9c:1c:6400:8075:39a6 LBN-R-007 -22.981654 -43.217965
2155198844 8075B97C fda0::116:1c:6400:8075:b97c LBN-R-008 -22.982051 -43.220913
2155198861 8075B98D fda0::9c:1c:6400:8075:b98d LBN-R-010 -22.98392 -43.219957
2155197309 8075B37D fda0::196:1c:6400:8075:b37d LBN-R-024 -22.985124 -43.220877
2155286900 M2155286900 fda0::a5:1c:6404:8077:1174 GDN-C-002 -22.971832 -43.380594
2155165774 M2155165774 fda0::33:1c:6404:8075:384e GDN-C-001 -22.971832 -43.380594
2155167988 M2155167988 fda0::ea:1c:6404:8075:40f4 GDN-C-003 -22.971832 -43.380594
2153844862 M2153844862 fda0::162:1c:6404:8061:107e GDN-C-004 -22.971832 -43.380594
2155287356 M2155287356 fda0::76:1c:6404:8077:133c RFR-C-002 -22.691928 -43.471459
2155286960 M2155286960 fda0::a8:1c:6404:8077:11b0 CUR-C-003 -22.958394 -43.39723
2155288219 M2155288219 fda0::10a:1c:6404:8077:169b CUR-C-005 -22.958394 -43.39723
2153843792 M2153843792 fda0::13b:1c:6404:8061:c50 CUR-C-006 -22.958394 -43.39723
2155198882 8075B9A2 fda0::9c:1c:6400:8075:b9a2 LBN-R-001 -22.981786 -43.219182
2155288057 807715F9 fda0::196:1c:6400:8077:15f9 LBN-R-062 -22.981085 -43.213143
2155286958 M2155286958 fda0::fb:1c:6404:8077:11ae ABR-C-007 -22.749303 -43.397806
2155200713 8075C0C9 fda0::196:1c:6400:8075:c0c9 LBN-R-109 -22.982947 -43.208095
2155198862 8075B98E fda0::1b7:1c:6400:8075:b98e LBN-R-114 -22.986963 -43.230374
2155198866 8075B992 fda0::9d:1c:6400:8075:b992 LBN-R-115 -22.984194 -43.207155
2155168190 807541BE fda0::1d0:1c:6400:8075:41be RL861405 -22.737965 -43.445934
2155171746 80754FA2 fda0::13d:1c:6400:8075:4fa2 SLZ-R-133 -22.904026 -43.176218
2155199058 8075BA52 fda0::b2:1c:6400:8075:ba52 SMT-R-034 -22.949383 -43.179624
2155167289 80753E39 fda0::16f:1c:6400:8075:3e39 SC8615 -22.787873 -43.309203
2155287971 807715A3 fda0::b3:1c:6400:8077:15a3 BFG-R-004 -22.955097 -43.17329
2155287942 80771586 fda0::b3:1c:6400:8077:1586 BFG-R-006 -22.954557 -43.173954
2155287902 8077155E fda0::e1:1c:6400:8077:155e HMT-R-049 -22.962238 -43.201708
2155287951 8077158F fda0::11b:1c:6400:8077:158f HMT-R-047 -22.960992 -43.202466
2155287989 807715B5 fda0::196:1c:6400:8077:15b5 HMT-R-040 -22.972327 -43.208198
2155287957 80771595 fda0::b0:1c:6400:8077:1595 BPD-R-038 -22.931069 -43.178115
2155288774 807718C6 fda0::14d:1c:6400:8077:18c6 BPD-R-077 -22.936145 -43.177271
2155288804 807718E4 fda0::1a9:1c:6400:8077:18e4 BPD-R-108 -22.939709 -43.175302
2155288716 8077188C fda0::197:1c:6400:8077:188c BPD-R-017 -22.935583 -43.191897
2155288792 807718D8 fda0::197:1c:6400:8077:18d8 BPD-R-022 -22.934529 -43.187372
2155288816 807718F0 fda0::b0:1c:6400:8077:18f0 BPD-R-089 -22.937833 -43.182541
2155288817 807718F1 fda0::1ca:1c:6400:8077:18f1 BAR-R-074 -22.99995 -43.33961
2155288769 807718C1 fda0::1cb:1c:6400:8077:18c1 BAR-R-094 -23.00885 -43.31323
2155288679 80771867 fda0::4d:1c:6400:8077:1867 CDV-R-003 -22.831642 -43.307445
2155288735 8077189F fda0::120:1c:6400:8077:189f SJO-R-003 -22.756665 -43.359341
2155162132 80752A14 fda0::121:1c:6400:8075:2a14 CRM-R-004 -22.711244 -43.468361
2155162121 80752A09 fda0::12b:1c:6400:8075:2a09 PVN-R-003 -22.835178 -43.403896
2155166111 8075399F fda0::7d:1c:6400:8075:399f FCN-R-001 -22.915578 -43.196652
2155166198 807539F6 fda0::151:1c:6400:8075:39f6 WLS-R-004 -22.804959 -43.305648
2155166100 80753994 fda0::8a:1c:6400:8075:3994 SAT-R-053 -22.917226 -43.185991
2155166066 80753972 fda0::132:1c:6400:8075:3972 SAT-R-054 -22.915891 -43.186421
2155171785 80754FC9 fda0::7e:1c:6400:8075:4fc9 CMR-R-038 -22.900272 -43.17931
2155171732 80754F94 fda0::164:1c:6400:8075:4f94 SLZ-R-069 -22.902869 -43.175621
2155171830 80754FF6 fda0::12d:1c:6400:8075:4ff6 SLZ-R-084 -22.909953 -43.171207
2155171789 80754FCD fda0::12d:1c:6400:8075:4fcd SLZ-R-083 -22.910734 -43.170689
2049 -80754F922049 fda0::28:1c:6400:8075:4f92 SLZ-R-117 -22.91931 -43.177559
2155171736 80754F98 fda0::28:1c:6400:8075:4f98 SLZ-R-085 -22.909579 -43.170086
2155171719 80754F87 fda0::1d7:1c:6400:8075:4f87 MRP-R-010 -22.821472 -43.614733
2155171769 80754FB9 fda0::1d7:1c:6400:8075:4fb9 MRP-R-003 -22.840168 -43.618976
2155168064 80754140 fda0::11e:1c:6400:8075:4140 CAB-R-002 -22.768687 -43.536471
2155171764 80754FB4 fda0::14c:1c:6400:8075:4fb4 STC-R-002 -22.714024 -43.551046
2155287158 80771276 fda0::2a:1c:6400:8077:1276 ITG-R-002 -22.873053 -43.766935
2155287161 80771279 fda0::80:1c:6400:8077:1279 SLZ-R-117 -22.91931 -43.177559
2155287452 8077139C fda0::1bf:1c:6400:8077:139c PMG-R-007 -22.868262 -43.42716
2155287181 8077128D fda0::1bc:1c:6400:8077:128d PTS-R-006 -22.987017 -43.190858
2155287189 80771295 fda0::1bc:1c:6400:8077:1295 PTS-R-032 -22.98158 -43.193661
2155287492 807713C4 fda0::144:1c:6400:8077:13c4 PTS-R-036 -22.984522 -43.198744
2153920294 80623726 fda0::1bc:1c:6400:8062:3726 PTS-R-049 -22.97910421 -43.18966865
2155287629 8077144D fda0::86:1c:6400:8077:144d PTS-R-050 -22.98434 -43.201791
2155162048 807529C0 fda0::196:1c:6400:8075:29c0 PTS-R-051 -22.982248 -43.200992
2155287526 807713E6 fda0::1b7:1c:6400:8077:13e6 PTS-R-052 -22.986309 -43.202942
2155287636 80771454 fda0::1b7:1c:6400:8077:1454 PTS-R-056 -22.985379 -43.202991
2155287091 80771233 fda0::9c:1c:6400:8077:1233 PTS-R-057 -22.983256 -43.202252
2155200697 8075C0B9 fda0::116:1c:6400:8075:c0b9 LBN-R-021 -22.979297 -43.219567
2155202085 8075C625 fda0::1b7:1c:6400:8075:c625 PTS-R-043 -22.985583 -43.200899
2155197318 8075B386 fda0::196:1c:6400:8075:b386 LBN-R-048 -22.983898 -43.21426
2155167989 M2155167989 fda0::77:1c:6404:8075:40f5 QMA-C-002 -22.736887 -43.556193
2153842032 M2153842032 fda0::189:1c:6404:8061:570 QMA-C-005 -22.736887 -43.556193
2153844918 M2153844918 fda0::182:1c:6404:8061:10b6 QMA-C-004 -22.736887 -43.556193
2153844910 M2153844910 fda0::14c:1c:6404:8061:10ae QMA-C-007 -22.736887 -43.556193
2155198867 8075B993 fda0::196:1c:6400:8075:b993 LBN-R-057 -22.984915 -43.224952
2155198852 8075B984 fda0::86:1c:6400:8075:b984 PTS-R-061 -22.98363 -43.202854
2155201559 8075C417 fda0::196:1c:6400:8075:c417 LBN-R-131 -22.974922 -43.198905
2155287963 8077159B fda0::b7:1c:6400:8077:159b HMT-R-007 -22.957102 -43.191788
2155287944 80771588 fda0::d6:1c:6400:8077:1588 HMT-R-008 -22.958134 -43.191848
2155287754 807714CA fda0::196:1c:6400:8077:14ca HMT-R-032 -22.962234 -43.20706
2155287966 8077159E fda0::b7:1c:6400:8077:159e HMT-R-031 -22.953758 -43.198797
2155287953 80771591 fda0::11c:1c:6400:8077:1591 HMT-R-041 -22.965598 -43.20345
2155168455 807542C7 fda0::11:1c:6400:8075:42c7 SC856814 -22.79073746 -43.35328942
2155288630 80771836 fda0::c9:1c:6400:8077:1836 BPD-R-050 -22.925574 -43.175364
2153920365 8062376D fda0::1a9:1c:6400:8062:376d BPD-R-107 -22.93925 -43.174322
2153917779 80622D53 fda0::1a9:1c:6400:8062:2d53 BPD-R-106 -22.943242 -43.174812
2155288663 80771857 fda0::129:1c:6400:8077:1857 BPD-R-008 -22.938542 -43.192583
2155288695 80771877 fda0::197:1c:6400:8077:1877 BPD-R-001 -22.94031 -43.199756
2155288624 80771830 fda0::fb:1c:6400:8077:1830 BRX-R-002 -22.72794 -43.39621
2155287745 807714C1 fda0::37:1c:6400:8077:14c1 SRP-R-008 -22.689896 -43.349035
2155288772 807718C4 fda0::4f:1c:6400:8077:18c4 RAM-R-003 -22.853212 -43.256149
2155288697 80771879 fda0::9f:1c:6400:8077:1879 RAM-R-009 -22.87128 -43.23108
2155287746 807714C2 fda0::dd:1c:6400:8077:14c2 VVQ-R-009 -22.889887 -43.357105
2155288632 80771838 fda0::48:1c:6400:8077:1838 PDD-R-007 -22.895331 -43.303194
2155288588 8077180C fda0::dd:1c:6400:8077:180c VVQ-R-010 -22.890572 -43.360132
2155288658 80771852 fda0::4f:1c:6400:8077:1852 PER-R-005 -22.845368 -43.27047
2153842961 80610911 fda0::1d1:1c:6400:8061:911 TRG-R-002 -22.899759 -43.242674
2155288047 807715EF fda0::161:1c:6400:8077:15ef TER-R-005 -22.865924 -43.288856
2155162139 80752A1B fda0::1d0:1c:6400:8075:2a1b CRM-R-005 -22.724616 -43.468361
2153845446 M2153845446 fda0::145:1c:6404:8061:12c6 PTS-C-006 -22.988047 -43.192845
2153845823 M2153845823 fda0::144:1c:6404:8061:143f PTS-C-007 -22.988047 -43.192845
2155166236 80753A1C fda0::6c:1c:6400:8075:3a1c WLS-R-002 -22.78995 -43.310349
2155166069 80753975 fda0::198:1c:6400:8075:3975 SAT-R-070 -22.91066 -43.184842
2153909735 80620DE7 fda0::132:1c:6400:8062:de7 SAT-R-036 -22.910423 -43.188374
2155168028 8075411C fda0::1ba:1c:6400:8075:411c CMR-R-044 -22.901101 -43.180316
2155168040 80754128 fda0::29:1c:6400:8075:4128 CMR-R-046 -22.899466 -43.1806115
2155168011 8075410B fda0::193:1c:6400:8075:410b SLZ-R-045 -22.906854 -43.175199
